Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
34,Tyler Higbee,LAR,26,TE,15,15,89,69,77.5%,734,10.6,3,36,66.3,33,8.2,4.6,48.9,0,HigbTy00
35,Christian Kirk,ARI,23,WR,13,13,108,68,63.0%,709,10.4,3,31,52.8,69,6.6,5.2,54.5,0,KirkCh01
36,Cole Beasley,BUF,30,WR,15,10,106,67,63.2%,778,11.6,6,37,55.7,51,7.3,4.5,51.9,0,BeasCo00
37,Mike Evans*,TAM,26,WR,13,13,118,67,56.8%,1157,17.3,8,54,55.1,67,9.8,5.2,89.0,0,EvanMi00
38,Le'Veon Bell,NYJ,27,RB,15,15,78,66,84.6%,461,7.0,1,20,46.2,23,5.9,4.4,30.7,1,BellLe00
39,Michael Gallup,DAL,23,WR,14,12,113,66,58.4%,1107,16.8,6,50,56.6,62,9.8,4.7,79.1,0,GallMi00
40,Emmanuel Sanders,2TM,32,WR,17,16,97,66,68.0%,869,13.2,5,41,52.6,75,9.0,3.9,51.1,0,SandEm00
41,Dede Westbrook,JAX,26,WR,15,11,101,66,65.3%,660,10.0,3,31,43.6,39,6.5,4.4,44.0,1,WestDe00
42,Kenny Golladay*,DET,26,WR,16,16,116,65,56.0%,1190,18.3,11,52,50.9,75,10.3,4.1,74.4,1,GollKe00
43,Mark Andrews*,BAL,24,TE,15,4,98,64,65.3%,852,13.3,10,44,54.1,51,8.7,4.3,56.8,2,AndrMa00
44,Stefon Diggs,MIN,26,WR,15,15,94,63,67.0%,1130,17.9,6,41,58.5,66,12.0,4.2,75.3,4,DiggSt00
45,Calvin Ridley,ATL,25,WR,13,10,93,63,67.7%,866,13.7,7,47,59.1,36,9.3,4.8,66.6,0,RidlCa00
46,Jason Witten,DAL,37,TE,16,16,83,63,75.9%,529,8.4,4,27,66.3,33,6.4,3.9,33.1,1,WittJa00
47,Danny Amendola,DET,34,WR,15,10,97,62,63.9%,678,10.9,1,36,51.5,47,7.0,4.1,45.2,0,AmenDa00
48,Marvin Jones,DET,29,WR,13,11,91,62,68.1%,779,12.6,9,41,59.3,47,8.6,4.8,59.9,0,JoneMa02
49,Devonta Freeman,ATL,27,RB,14,14,70,59,84.3%,410,6.9,4,17,48.6,28,5.9,4.2,29.3,3,FreeDe00
50,Diontae Johnson,PIT,23,WR,16,12,92,59,64.1%,680,11.5,5,31,48.9,45,7.4,3.7,42.5,5,JohnDi01
51,Mohamed Sanu,2TM,30,WR,15,12,89,59,66.3%,520,8.8,2,30,48.3,28,5.8,3.9,34.7,0,SanuMo00
52,Dallas Goedert,PHI,24,TE,15,9,87,58,66.7%,607,10.5,5,33,57.5,28,7.0,3.9,40.5,2,GoedDa00
53,Tyreek Hill*,KAN,25,WR,12,12,89,58,65.2%,860,14.8,7,39,58.4,57,9.7,4.8,71.7,0,HillTy00
54,Terry McLaurin,WAS,24,WR,14,14,93,58,62.4%,919,15.8,7,43,57.0,75,9.9,4.1,65.6,0,McLaTe00
55,D.K. Metcalf,SEA,22,WR,16,15,100,58,58.0%,900,15.5,7,39,52.0,54,9.0,3.6,56.3,3,MetcDK00
56,Deebo Samuel,SFO,23,WR,15,11,81,57,70.4%,802,14.1,3,32,53.1,42,9.9,3.8,53.5,2,SamuDe00
57,Sterling Shepard,NYG,26,WR,10,10,83,57,68.7%,576,10.1,3,29,59.0,36,6.9,5.7,57.6,0,ShepSt00
58,Randall Cobb,DAL,29,WR,15,6,83,55,66.3%,828,15.1,3,41,54.2,59,10.0,3.7,55.2,2,CobbRa00
59,Hunter Henry,LAC,25,TE,12,12,76,55,72.4%,652,11.9,5,36,67.1,30,8.6,4.6,54.3,1,HenrHu00
60,Ezekiel Elliott*,DAL,24,RB,16,16,71,54,76.1%,420,7.8,2,21,45.1,27,5.9,3.4,26.3,3,ElliEz00
61,Curtis Samuel,CAR,23,WR,16,15,105,54,51.4%,627,11.6,6,36,43.8,44,6.0,3.4,39.2,0,SamuCu00
62,Dalvin Cook*,MIN,24,RB,14,14,63,53,84.1%,519,9.8,0,26,57.1,31,8.2,3.8,37.1,4,CookDa01
63,Saquon Barkley,NYG,22,RB,13,13,73,52,71.2%,438,8.4,2,14,34.2,65,6.0,4.0,33.7,1,BarkSa00
64,A.J. Brown,TEN,22,WR,16,11,84,52,61.9%,1051,20.2,8,39,53.6,91,12.5,3.3,65.7,1,BrowAJ00
65,Robbie Chosen,NYJ,26,WR,16,15,96,52,54.2%,779,15.0,5,35,46.9,92,8.1,3.3,48.7,1,AndeRo04
66,Anthony Miller,CHI,25,WR,16,7,85,52,61.2%,656,12.6,2,34,51.8,35,7.7,3.3,41.0,1,MillAn02
67,Greg Olsen,CAR,34,TE,14,14,82,52,63.4%,597,11.5,2,34,53.7,41,7.3,3.7,42.6,0,OlseGr00
68,Sammy Watkins,KAN,26,WR,14,13,90,52,57.8%,673,12.9,3,30,47.8,68,7.5,3.7,48.1,2,WatkSa00
69,Mike Gesicki,MIA,24,TE,16,5,89,51,57.3%,570,11.2,5,25,44.9,34,6.4,3.2,35.6,1,GesiMi00
70,Kenyan Drake,2TM,25,RB,14,10,68,50,73.5%,345,6.9,0,15,42.6,26,5.1,3.6,24.6,2,DrakKe00
71,Miles Sanders,PHI,22,RB,16,11,63,50,79.4%,509,10.2,3,19,49.2,45,8.1,3.1,31.8,2,SandMi01
72,Will Fuller,HOU,25,WR,11,11,71,49,69.0%,670,13.7,3,26,59.2,54,9.4,4.5,60.9,1,FullWi01
73,Russell Gage,ATL,23,WR,16,4,74,49,66.2%,446,9.1,1,25,48.6,19,6.0,3.1,27.9,1,GageRu00
74,Aaron Jones,GNB,25,RB,16,16,68,49,72.1%,474,9.7,3,18,47.1,67,7.0,3.1,29.6,3,JoneAa00
75,Hunter Renfrow,OAK,24,WR,13,4,71,49,69.0%,605,12.3,4,30,54.9,65,8.5,3.8,46.5,1,RenfHu00
76,Golden Tate,NYG,31,WR,11,10,85,49,57.6%,676,13.8,6,30,49.4,64,8.0,4.5,61.5,1,TateGo00
77,Mike Williams,LAC,25,WR,15,15,90,49,54.4%,1001,20.4,2,41,52.2,56,11.1,3.3,66.7,0,WillMi07
78,Darius Slayton,NYG,22,WR,14,9,84,48,57.1%,740,15.4,8,32,48.8,55,8.8,3.4,52.9,0,SlayDa01
79,Chris Conley,JAX,27,WR,16,14,90,47,52.2%,775,16.5,5,36,47.8,70,8.6,2.9,48.4,0,ConlCh00
80,Jaylen Samuels,PIT,23,RB,14,4,57,47,82.5%,305,6.5,1,19,49.1,27,5.4,3.4,21.8,1,SamuJa00
81,Marquise Brown,BAL,22,WR,14,11,71,46,64.8%,584,12.7,7,24,47.9,83,8.2,3.3,41.7,0,BrowMa04
82,T.Y. Hilton,IND,30,WR,10,10,68,45,66.2%,501,11.1,5,24,52.9,35,7.4,4.5,50.1,0,HiltT.00
83,Evan Engram,NYG,25,TE,8,6,68,44,64.7%,467,10.6,3,23,41.2,75,6.9,5.5,58.4,0,EngrEv00
84,Nyheim Hines,IND,23,RB,16,2,58,44,75.9%,320,7.3,0,15,43.1,21,5.5,2.8,20.0,1,HineNy00
85,Duke Johnson,HOU,26,RB,16,2,62,44,71.0%,410,9.3,3,18,50.0,21,6.6,2.8,25.6,1,JohnDu00
86,James Washington,PIT,23,WR,15,10,80,44,55.0%,735,16.7,3,31,46.3,79,9.2,2.9,49.0,1,WashJa00
87,Jared Cook*,NOR,32,TE,14,7,65,43,66.2%,705,16.4,9,32,63.1,61,10.8,3.1,50.4,0,CookJa02
88,Corey Davis,TEN,24,TE,15,11,69,43,62.3%,601,14.0,2,33,58.0,38,8.7,2.9,40.1,1,DaviCo03
89,Jack Doyle*,IND,29,TE,16,16,72,43,59.7%,448,10.4,4,29,51.4,23,6.2,2.7,28.0,1,DoylJa00
90,Tyler Eifert,CIN,29,TE,16,4,63,43,68.3%,436,10.1,3,24,52.4,27,6.9,2.7,27.3,0,EifeTy00
91,Alex Erickson,CIN,27,WR,16,6,78,43,55.1%,529,12.3,0,26,47.4,52,6.8,2.7,33.1,4,EricAl01
92,Royce Freeman,DEN,23,RB,16,0,50,43,86.0%,256,6.0,1,10,42.0,19,5.1,2.7,16.0,0,FreeRo00
93,Alshon Jeffery,PHI,29,WR,10,10,73,43,58.9%,490,11.4,4,36,53.4,38,6.7,4.3,49.0,0,JeffAl00
94,Albert Wilson,MIA,27,WR,13,4,62,43,69.4%,351,8.2,1,22,43.5,35,5.7,3.3,27.0,0,WilsAl02
95,Brandin Cooks,LAR,26,WR,14,14,72,42,58.3%,583,13.9,2,32,50.0,57,8.1,3.0,41.6,0,CookBr00
96,Melvin Gordon,LAC,26,RB,12,11,55,42,76.4%,296,7.0,1,11,47.3,25,5.4,3.5,24.7,4,GordMe00
97,JuJu Smith-Schuster,PIT,23,WR,12,12,70,42,60.0%,552,13.1,3,23,44.3,76,7.9,3.5,46.0,1,SmitJu00
98,Chris Thompson,WAS,29,RB,11,0,58,42,72.4%,378,9.0,0,16,37.9,39,6.5,3.8,34.4,1,ThomCh03
99,Tyrell Williams,OAK,27,WR,14,12,64,42,65.6%,651,15.5,6,33,57.8,46,10.2,3.0,46.5,0,WillTy00
100,Jacob Hollister,SEA,26,TE,11,3,59,41,69.5%,349,8.5,3,16,50.8,22,5.9,3.7,31.7,0,HollJa03
101,Zach Pascal,IND,25,WR,16,13,72,41,56.9%,607,14.8,5,29,50.0,37,8.4,2.6,37.9,0,PascZa00
102,Noah Fant,DEN,22,TE,16,11,66,40,60.6%,562,14.1,3,23,42.4,75,8.5,2.5,35.1,1,FantNo00
103,Kenny Stills,HOU,27,WR,13,5,55,40,72.7%,561,14.0,4,27,58.2,45,10.2,3.1,43.2,0,StilKe00
104,Auden Tate,CIN,22,WR,12,10,80,40,50.0%,575,14.4,1,29,45.0,33,7.2,3.3,47.9,1,TateAu00
105,Nelson Agholor,PHI,26,WR,11,10,69,39,56.5%,363,9.3,3,17,47.8,43,5.3,3.5,33.0,2,AghoNe00
106,Kyle Rudolph,MIN,30,TE,16,16,48,39,81.3%,367,9.4,6,24,66.7,32,7.6,2.4,22.9,0,RudoKy00
107,Jamaal Williams,GNB,24,RB,14,2,45,39,86.7%,253,6.5,5,16,53.3,17,5.6,2.8,18.1,0,WillJa06
108,Jimmy Graham,GNB,33,TE,16,10,60,38,63.3%,447,11.8,3,23,48.3,48,7.5,2.4,27.9,1,GrahJi00
109,Vance McDonald,PIT,29,TE,14,14,55,38,69.1%,273,7.2,3,12,40.0,22,5.0,2.7,19.5,1,McDoVa00
110,Chris Carson,SEA,25,RB,15,15,47,37,78.7%,266,7.2,2,10,55.3,21,5.7,2.5,17.7,7,CarsCh00
111,Gerald Everett,LAR,25,TE,13,2,60,37,61.7%,408,11.0,2,22,45.0,33,6.8,2.8,31.4,0,EverGe00
112,Adam Humphries,TEN,26,WR,12,3,47,37,78.7%,374,10.1,2,20,59.6,30,8.0,3.1,31.2,1,HumpAd00
113,Kareem Hunt,CLE,24,RB,8,3,44,37,84.1%,285,7.7,1,17,52.3,29,6.5,4.6,35.6,1,HuntKa00
114,Jordan Akins,HOU,27,TE,16,9,55,36,65.5%,418,11.6,2,21,49.1,53,7.6,2.3,26.1,0,AkinJo00
115,Cameron Brate,TAM,28,TE,16,6,55,36,65.5%,311,8.6,4,21,52.7,37,5.7,2.3,19.4,0,BratCa00
116,Nick Chubb*,CLE,24,RB,16,16,49,36,73.5%,278,7.7,0,13,42.9,32,5.7,2.3,17.4,3,ChubNi00
117,David Johnson,ARI,28,RB,13,9,47,36,76.6%,370,10.3,4,17,51.1,31,7.9,2.8,28.5,1,JohnDa08
118,Breshad Perriman,TAM,26,WR,14,4,69,36,52.2%,645,17.9,6,29,47.8,44,9.3,2.6,46.1,0,PerrBr02
119,Jalen Richard,OAK,26,RB,16,0,43,36,83.7%,323,9.0,0,15,48.8,33,7.5,2.3,20.2,2,RichJa01
120,Irv Smith Jr.,MIN,21,TE,16,7,47,36,76.6%,311,8.6,2,17,59.6,29,6.6,2.3,19.4,1,SmitIr01
121,Demaryius Thomas,NYJ,32,WR,11,10,58,36,62.1%,433,12.0,1,22,51.7,47,7.5,3.3,39.4,0,ThomDe03
122,DeAndre Washington,OAK,26,RB,16,3,41,36,87.8%,292,8.1,0,10,58.5,28,7.1,2.3,18.3,0,WashDe00
123,Allen Lazard,GNB,24,WR,16,3,52,35,67.3%,477,13.6,3,24,59.6,43,9.2,2.2,29.8,0,LazaAl00
124,Phillip Lindsay,DEN,25,RB,16,16,48,35,72.9%,196,5.6,0,9,37.5,36,4.1,2.2,12.3,0,LindPh00
125,Joe Mixon,CIN,23,RB,16,15,45,35,77.8%,287,8.2,3,14,51.1,33,6.4,2.2,17.9,0,MixoJo00
126,Dare Ogunbowale,TAM,25,RB,16,0,46,35,76.1%,286,8.2,0,14,45.7,21,6.2,2.2,17.9,2,OgunDa00
127,Jonnu Smith,TEN,24,TE,16,14,44,35,79.5%,439,12.5,3,16,56.8,57,10.0,2.2,27.4,0,SmitJo01
128,Geronimo Allison,GNB,25,WR,16,6,55,34,61.8%,287,8.4,2,16,41.8,31,5.2,2.1,17.9,2,AlliGe01
129,James Conner,PIT,24,RB,10,10,38,34,89.5%,251,7.4,3,14,55.3,26,6.6,3.4,25.1,1,ConnJa00
130,Darren Fells,HOU,33,TE,16,14,48,34,70.8%,341,10.0,7,22,58.3,24,7.1,2.1,21.3,0,FellDa01
131,Ryan Griffin,NYJ,29,TE,13,13,41,34,82.9%,320,9.4,5,19,61.0,45,7.8,2.6,24.6,0,GrifRy00
132,O.J. Howard,TAM,25,TE,14,14,53,34,64.2%,459,13.5,1,23,56.6,33,8.7,2.4,32.8,1,HowaO.00
133,J.D. McKissic,DET,26,RB,16,3,42,34,81.0%,233,6.9,1,7,35.7,26,5.5,2.1,14.6,0,McKiJ.00
134,Latavius Murray,NOR,29,RB,16,8,43,34,79.1%,235,6.9,1,9,48.8,30,5.5,2.1,14.7,0,MurrLa00
135,Steven Sims,WAS,22,WR,16,2,56,34,60.7%,310,9.1,4,18,32.1,65,5.5,2.1,19.4,1,SimsSt00
136,Damiere Byrd,ARI,26,WR,11,3,46,32,69.6%,359,11.2,1,16,50.0,58,7.8,2.9,32.6,1,ByrdDa00
137,T.J. Hockenson,DET,22,TE,12,7,59,32,54.2%,367,11.5,2,19,45.8,39,6.2,2.7,30.6,0,HockTJ00
138,Allen Hurns,MIA,28,WR,14,7,47,32,68.1%,416,13.0,2,18,59.6,27,8.9,2.3,29.7,1,HurnAl01
139,Demarcus Robinson,KAN,25,WR,16,10,55,32,58.2%,449,14.0,4,19,52.7,44,8.2,2.0,28.1,0,RobiDe01
140,Preston Williams,MIA,22,WR,8,7,60,32,53.3%,428,13.4,3,24,51.7,35,7.1,4.0,53.5,2,WillPr01
141,Nick Boyle,BAL,26,TE,16,15,43,31,72.1%,321,10.4,2,13,55.8,35,7.5,1.9,20.1,0,BoylNi00
142,Eric Ebron,IND,26,TE,11,2,52,31,59.6%,375,12.1,3,20,51.9,48,7.2,2.8,34.1,0,EbroEr00
143,Todd Gurley,LAR,25,RB,15,15,49,31,63.3%,207,6.7,2,8,36.7,23,4.2,2.1,13.8,3,GurlTo01
144,Blake Jarwin,DAL,25,TE,16,7,41,31,75.6%,365,11.8,3,17,56.1,42,8.9,1.9,22.8,1,JarwBl00
145,Olabisi Johnson,MIN,22,WR,16,6,45,31,68.9%,294,9.5,3,17,55.6,23,6.5,1.9,18.4,0,JohnOl00
146,Ronald Jones II,TAM,22,RB,16,9,40,31,77.5%,309,10.0,0,12,52.5,41,7.7,1.9,19.3,3,JoneRo01
147,Kaden Smith,NYG,22,TE,9,6,42,31,73.8%,268,8.6,3,12,47.6,32,6.4,3.4,29.8,2,SmitKa00
148,Willie Snead,BAL,27,WR,16,11,46,31,67.4%,339,10.9,5,20,52.2,50,7.4,1.9,21.2,0,SneaWi00
149,Giovani Bernard,CIN,28,RB,16,2,43,30,69.8%,234,7.8,0,7,30.2,35,5.4,1.9,14.6,2,BernGi00
150,Kendrick Bourne,SFO,24,WR,16,0,44,30,68.2%,358,11.9,5,23,59.1,30,8.1,1.9,22.4,0,BourKe00
151,Ted Ginn Jr.,NOR,34,WR,16,9,56,30,53.6%,421,14.0,2,20,44.6,45,7.5,1.9,26.3,0,GinnTe00
152,Kelvin Harmon,WAS,23,WR,16,8,44,30,68.2%,365,12.2,0,16,56.8,30,8.3,1.9,22.8,0,HarmKe00
153,Hayden Hurst,BAL,26,TE,16,4,39,30,76.9%,349,11.6,2,16,69.2,61,8.9,1.9,21.8,0,HursHa00
154,Adam Thielen,MIN,29,WR,10,10,48,30,62.5%,418,13.9,6,18,52.1,44,8.7,3.0,41.8,0,ThieAd00
155,Damien Williams,KAN,27,RB,11,6,37,30,81.1%,213,7.1,2,10,43.2,32,5.8,2.7,19.4,1,WillDa05
156,Phillip Dorsett,NWE,26,WR,14,4,54,29,53.7%,397,13.7,5,17,42.6,58,7.4,2.1,28.4,0,DorsPh00
157,Taylor Gabriel,CHI,28,WR,9,7,48,29,60.4%,353,12.2,4,17,50.0,53,7.4,3.2,39.2,0,GabrTa00
158,Devin Singletary,BUF,22,RB,12,8,41,29,70.7%,194,6.7,2,5,29.3,49,4.7,2.4,16.2,4,SingDe00
159,DaeSean Hamilton,DEN,24,WR,16,2,52,28,53.8%,297,10.6,1,19,44.2,28,5.7,1.8,18.6,0,HamiDa01
160,Dawson Knox,BUF,23,TE,15,11,50,28,56.0%,388,13.9,2,15,42.0,49,7.8,1.9,25.9,0,KnoxDa00
161,LeSean McCoy,KAN,31,RB,13,9,34,28,82.4%,181,6.5,1,6,44.1,23,5.3,2.2,13.9,3,McCoLe01
162,Paul Richardson,WAS,27,WR,10,6,42,28,66.7%,245,8.8,2,13,54.8,22,5.8,2.8,24.5,0,RichPa01
163,John Ross,CIN,24,WR,8,8,56,28,50.0%,506,18.1,3,22,44.6,66,9.0,3.5,63.3,1,RossJo00
164,Greg Ward,PHI,24,WR,7,3,40,28,70.0%,254,9.1,1,18,60.0,38,6.4,4.0,36.3,0,WardGr02
165,Jarius Wright,CAR,30,WR,16,9,58,28,48.3%,296,10.6,0,16,36.2,33,5.1,1.8,18.5,0,WrigJa02
166,Rex Burkhead,NWE,29,RB,13,1,38,27,71.1%,279,10.3,0,10,52.6,32,7.3,2.1,21.5,1,BurkRe00
167,Josh Gordon,2TM,28,WR,11,7,47,27,57.4%,426,15.8,1,16,51.1,58,9.1,2.5,38.7,0,GordJo02
168,Zay Jones,2TM,24,WR,15,9,45,27,60.0%,216,8.0,0,10,37.8,23,4.8,1.8,14.4,0,JoneZa00
169,Isaiah McKenzie,BUF,24,WR,15,8,39,27,69.2%,254,9.4,1,12,48.7,46,6.5,1.8,16.9,0,McKeIs00
170,C.J. Uzomah,CIN,26,TE,16,16,40,27,67.5%,242,9.0,2,12,55.0,36,6.1,1.7,15.1,0,UzomC.00
171,Mecole Hardman*,KAN,21,WR,16,5,41,26,63.4%,538,20.7,6,18,58.5,83,13.1,1.6,33.6,2,HardMe00
172,Mark Ingram*,BAL,30,RB,15,15,29,26,89.7%,247,9.5,5,16,62.1,25,8.5,1.7,16.5,2,IngrMa01
173,Jakobi Meyers,NWE,23,WR,15,1,41,26,63.4%,359,13.8,0,17,53.7,35,8.8,1.7,23.9,0,MeyeJa01
174,Trey Quinn,WAS,24,WR,12,6,47,26,55.3%,198,7.6,1,10,42.6,19,4.2,2.2,16.5,1,QuinTr00
175,Jeremy Sprinkle,WAS,25,TE,16,13,40,26,65.0%,241,9.3,1,13,55.0,23,6.0,1.6,15.1,1,SpriJe00
176,Marquez Valdes-Scantling,GNB,25,WR,16,10,56,26,46.4%,452,17.4,2,14,32.1,74,8.1,1.6,28.3,0,ValdMa00
177,Pharoh Cooper,2TM,24,WR,13,1,33,25,75.8%,243,9.7,1,10,54.5,28,7.4,1.9,18.7,0,CoopPh00
178,Josh Hill,NOR,29,TE,16,11,35,25,71.4%,226,9.0,3,13,48.6,29,6.5,1.6,14.1,0,HillJo02
179,Dion Lewis,TEN,29,RB,16,1,32,25,78.1%,164,6.6,1,7,31.3,24,5.1,1.6,10.3,1,LewiDi00
180,David Montgomery,CHI,22,RB,16,8,35,25,71.4%,185,7.4,1,7,42.9,30,5.3,1.6,11.6,2,MontDa01
181,Tajae Sharpe,TEN,25,WR,15,6,35,25,71.4%,329,13.2,4,20,62.9,47,9.4,1.7,21.9,0,SharTa00
182,Keelan Cole,JAX,26,WR,16,1,35,24,68.6%,361,15.0,3,19,60.0,55,10.3,1.5,22.6,0,ColeKe00
183,Ty Johnson,DET,22,RB,16,1,31,24,77.4%,109,4.5,0,4,32.3,13,3.5,1.5,6.8,1,JohnTy02
184,Cody Latimer,NYG,27,WR,15,10,42,24,57.1%,300,12.5,2,19,50.0,43,7.1,1.6,20.0,0,LatiCo00
185,Boston Scott,PHI,24,RB,11,2,26,24,92.3%,204,8.5,0,10,61.5,39,7.8,2.2,18.5,4,ScotBo02
186,Will Dissly,SEA,23,TE,6,6,27,23,85.2%,262,11.4,4,14,66.7,38,9.7,3.8,43.7,1,DissWi00
187,Isaiah Ford,MIA,23,WR,8,0,35,23,65.7%,244,10.6,0,16,57.1,28,7.0,2.9,30.5,0,FordIs00
188,Bennie Fowler,NYG,28,WR,8,2,36,23,63.9%,193,8.4,0,12,55.6,17,5.4,2.9,24.1,0,FowlBe00
189,Patrick Laird,MIA,24,RB,15,4,30,23,76.7%,204,8.9,0,13,50.0,21,6.8,1.5,13.6,0,LairPa00
190,Keke Coutee,HOU,22,WR,9,4,36,22,61.1%,254,11.5,0,10,52.8,51,7.1,2.4,28.2,1,CoutKe00
191,Tevin Coleman,SFO,26,RB,14,11,30,21,70.0%,180,8.6,1,9,43.3,37,6.0,1.5,12.9,0,ColeTe01
192,KeeSean Johnson,ARI,23,WR,10,4,42,21,50.0%,187,8.9,1,10,38.1,31,4.5,2.1,18.7,1,JohnKe07
193,Foster Moreau,OAK,22,TE,13,7,25,21,84.0%,174,8.3,5,14,68.0,23,7.0,1.6,13.4,0,MoreFo00
194,Josh Reynolds,LAR,24,WR,16,2,43,21,48.8%,326,15.5,1,15,41.9,31,7.6,1.3,20.4,0,ReynJo00
195,Seth Roberts,BAL,28,WR,16,0,35,21,60.0%,271,12.9,2,18,57.1,33,7.7,1.3,16.9,0,RobeSe00
196,Delanie Walker,TEN,35,TE,7,4,31,21,67.7%,215,10.2,2,11,38.7,29,6.9,3.0,30.7,1,WalkHu00
197,Josh Jacobs,OAK,21,RB,13,13,27,20,74.1%,166,8.3,0,8,51.9,28,6.1,1.5,12.8,1,JacoJo01
198,Kyle Juszczyk*,SFO,28,FB,12,12,24,20,83.3%,239,12.0,1,11,70.8,49,10.0,1.7,19.9,0,JuszKy00
